question_id,module,prompt,type,required,options_json,min,max,route_if_json,tags_json,help_text
Q001,A,What country are you currently based in?,single_select,true,"[""UAE"",""UK"",""USA"",""Canada"",""Australia"",""Germany"",""France"",""India"",""Philippines"",""South Africa"",""Other Europe"",""Other Asia"",""Other""]",,,,"[""baseline"",""location""]",Where you live now — this determines local job markets and salary benchmarks we show you.
Q002,A,What passport(s) do you hold?,multi_select,true,"[""UAE"",""UK"",""USA"",""Canadian"",""Australian"",""EU member state"",""Indian"",""Filipino"",""South African"",""Other GCC"",""Other""]",,,,"[""baseline"",""nationality"",""work_rights""]",Your nationality affects which countries you can work in without sponsorship.
Q003,A,What currency should we use for salary and budget questions?,single_select,true,"[""AED"",""USD"",""GBP"",""EUR"",""CAD"",""AUD"",""INR"",""PHP"",""ZAR"",""Other""]",,,,"[""baseline"",""currency""]",All salary and budget figures in the assessment will use this currency.
Q004,A,What outcomes do you want from this app?,multi_select,true,"[""Pathways"",""Salary clarity"",""Study plan"",""Relocation plan"",""Entrepreneurship"",""Advisor coaching""]",,,,"[""baseline"",""goals""]",Helps us prioritize which sections of your report to focus on.
Q005,A,Do you consent to processing your career data to generate recommendations?,single_select,true,"[""Yes"",""No""]",,,"{""No"": ""block""}","[""consent""]",We need your permission to analyze your answers and generate career recommendations. Selecting No will stop the questionnaire.
Q006,A,May we use your responses (anonymized and non-identifiable) to help improve this product?,single_select,false,"[""Yes"",""No""]",,,,"[""consent""]",Optional. If yes we may use anonymized patterns to improve recommendations for future users. Your identity is never shared.
Q007,A,Preferred language for your report,single_select,true,"[""English"",""Arabic"",""Russian"",""Ukrainian"",""Other""]",,,,"[""preference""]",Your final career report will be generated in this language.
Q008,A,Preferred communication style,single_select,true,"[""Direct"",""Detailed"",""Motivational"",""Minimal""]",,,,"[""preference""]","Choose how you'd like your report written. Direct = concise and to the point. Detailed = thorough with context. Motivational = encouraging and energizing. Minimal = bullet-style, essentials only."
Q009,A,How urgent is change? (0=no urgency; 10=must change now),slider_0_10,true,,0,10,,"[""urgency""]",This helps us understand your timeline and whether to prioritize quick-win pathways or longer-term plans.
Q010,A,"What would make this experience a ""win"" for you in the next 30 days?",text_short,true,,,,,,A concrete short-term goal helps us tailor actionable next steps in your report.
Q011,B,Years as cabin crew (total),numeric,true,,0,50,,"[""experience"",""aviation""]",Total flying years across all airlines. This helps gauge the depth of transferable skills you've built.
Q012,B,Current employer type,single_select,true,"[""GCC legacy carrier"",""Low-cost carrier"",""Charter"",""Other""]",,,,"[""aviation"",""employer""]",Different airline types develop different skill profiles — legacy carriers emphasize premium service while LCCs build efficiency skills.
Q013,B,Aircraft experience,multi_select,true,"[""A380"",""B777"",""Narrow-body"",""Other""]",,,,"[""aviation"",""experience""]",Wide-body experience often signals premium service and larger team coordination skills.
Q014,B,Cabin roles held,multi_select,true,"[""Economy"",""Business"",""First"",""Senior"",""Lead"",""Purser-like duties""]",,,,"[""aviation"",""seniority""]",Senior and lead roles demonstrate management experience that translates to many ground careers.
Q015,B,Special duties held,multi_select,false,"[""Trainer support"",""Safety rep"",""Service excellence"",""Onboarding buddy"",""Language speaker"",""Documentation""]",,,,"[""aviation"",""specialties""]",These extras show initiative beyond your core role and open up specific career pathways like L&D or safety.
Q016,B,Enjoyment: safety/security responsibilities,likert_1_5,true,,1,5,,"[""enjoyment"",""safety""]",1 = don't enjoy at all; 5 = love it. We match you to careers that align with what you enjoy doing.
Q017,B,Enjoyment: service/hospitality delivery,likert_1_5,true,,1,5,,"[""enjoyment"",""service""]",1 = don't enjoy at all; 5 = love it. High scores point toward customer-facing career paths.
Q018,B,Enjoyment: conflict resolution/de-escalation,likert_1_5,true,,1,5,,"[""enjoyment"",""conflict""]",1 = don't enjoy at all; 5 = love it. Enjoying this suggests roles in HR or people management.
Q019,B,Enjoyment: teamwork/leading on board,likert_1_5,true,,1,5,,"[""enjoyment"",""leadership""]",1 = don't enjoy at all; 5 = love it. Leadership enjoyment opens management and coordination pathways.
Q020,B,Enjoyment: strict compliance/checklists,likert_1_5,true,,1,5,,"[""enjoyment"",""compliance""]",1 = don't enjoy at all; 5 = love it. Enjoying structure and compliance maps well to quality assurance and audit roles.
Q021,B,Drain: irregular sleep/roster,likert_1_5,true,,1,5,,"[""drain"",""lifestyle""]",1 = barely affects me; 5 = severely draining. Helps us understand which lifestyle factors to avoid in your next role.
Q022,B,"Drain: emotional labor (""politeness mask"")",likert_1_5,true,,1,5,,"[""drain"",""emotional""]",1 = barely affects me; 5 = severely draining. High drain here may steer recommendations away from heavy customer-facing roles.
Q023,B,Drain: physical load,likert_1_5,true,,1,5,,"[""drain"",""physical""]",1 = barely affects me; 5 = severely draining. Important for filtering out roles that are equally physical.
Q024,B,"Peak moment onboard: describe a situation where you felt most effective",text_long,true,,,,,,Think of a specific moment you were proud of. This reveals your natural strengths and what kind of work energizes you.
Q025,B,Hard moment onboard: describe a situation you never want again,text_long,true,,,,,,A specific difficult experience helps us understand what to steer you away from in your next career.
Q026,B,Burnout risk (0 low; 10 high),slider_0_10,true,,0,10,,"[""burnout"",""urgency""]",Be honest — this helps us gauge how urgently you need a change and whether a phased or immediate transition is better.
Q109,B,What is your primary reason for exploring a career change?,single_select,true,"[""Career growth ceiling"",""Burnout/wellbeing"",""Medical/health"",""Redundancy or contract ending"",""Financial"",""Family/lifestyle"",""Curiosity"",""Other""]",,,,"[""motivation"",""change_driver""]",Your main motivation shapes the type of recommendations we prioritize — stability vs growth vs wellbeing.
Q110,B,"Estimate your total monthly compensation including all allowances (housing, transport, flying pay)",numeric,true,,0,500000,,"[""compensation"",""current_total""]",Include housing allowance and flying hours pay. This baseline helps us set realistic salary expectations for your transition.
Q111,B,What aspects of your aviation career do you most want to keep in your next role?,multi_select,true,"[""Travel"",""Team environment"",""Clear procedures"",""Helping people"",""Prestige"",""Variety"",""Physical activity"",""Other""]",,,,"[""preference"",""preserve""]",We'll try to match you with careers that preserve the parts of flying you value most.
Q027,C,Public-facing service orientation,likert_1_5,true,,1,5,,"[""skill"",""service""]",Rate your skill level: 1 = basic; 5 = expert. Your skill self-assessment is cross-referenced with your evidence stories.
